Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category
153051588,2025-10-15 23:32:00,"South Lambeth Road, Vauxhall",200133,2025-10-20 08:46:00,"Vauxhall Cross, Vauxhall",1000,56089,CLASSIC,4d 9h 13m 34s,378814362,6313.5727,Anamoly (>300 mins)
153051464,2025-10-15 23:15:00,"Queen's Gate (South), South Kensington",1172,2025-10-16 08:40:00,"Grosvenor Square, Mayfair",10627,61158,PBSC_EBIKE,9h 24m 37s,33877633,564.6272166666666,Anamoly (>300 mins)
153051301,2025-10-15 23:00:00,"Bricklayers Arms, Borough",1070,2025-10-16 09:03:00,"Burgess Park Albany Road, Walworth",300063,35533,CLASSIC,10h 2m 22s,36142020,602.367,Anamoly (>300 mins)
153051032,2025-10-15 22:38:00,"Imperial Road, Sands End",300087,2025-10-16 08:07:00,"West Cromwell Road, Earl's Court",1001,62179,PBSC_EBIKE,9h 29m 3s,34143495,569.05825,Anamoly (>300 mins)
153050884,2025-10-15 22:25:00,"Russell Square Station, Bloomsbury",978,2025-10-17 09:40:00,"Saltoun Road, Brixton",300206,57670,CLASSIC,1d 11h 14m 58s,126898951,2114.9825166666665,Anamoly (>300 mins)
153049374,2025-10-15 20:56:00,"Antill Road, Mile End",200041,2025-10-24 18:16:00,"Bow Road Station, Bow",200251,40336,CLASSIC,8d 21h 20m 32s,768032847,12800.54745,Anamoly (>300 mins)
153048615,2025-10-15 20:21:00,"Shoreditch High Street, Shoreditch",3445,2025-10-16 06:41:00,"Drury Lane, Covent Garden",1007,55160,CLASSIC,10h 20m 40s,37240147,620.6691166666667,Anamoly (>300 mins)
153048635,2025-10-15 20:21:00,"Clifford Street, Mayfair",2688,2025-10-16 08:20:00,"Clifford Street, Mayfair",2688,59228,CLASSIC,11h 59m 0s,43140117,719.00195,Anamoly (>300 mins)
153043878,2025-10-15 18:18:00,"Butler Place, Westminster",2662,2025-10-16 18:11:00,"Hansard Mews, Holland Park",200154,52205,CLASSIC,23h 53m 6s,85986074,1433.1012333333333,Anamoly (>300 mins)
153043256,2025-10-15 18:08:00,"Sardinia Street, Holborn",2649,2025-10-16 07:35:00,"Bonny Street, Camden Town",200105,63153,PBSC_EBIKE,13h 27m 5s,48425692,807.0948666666667,Anamoly (>300 mins)
153042615,2025-10-15 17:58:00,"Frampton Street, Paddington",1099,2025-10-16 07:24:00,"Broadcasting House, Marylebone",3424,57387,CLASSIC,13h 26m 27s,48387209,806.4534833333333,Anamoly (>300 mins)
153041925,2025-10-15 17:47:00,"Albert Gate, Hyde Park",1132,2025-10-16 07:25:00,"Black Lion Gate, Kensington Gardens",1157,51720,CLASSIC,13h 38m 20s,49100129,818.3354833333333,Anamoly (>300 mins)
153041135,2025-10-15 17:35:00,"St. John Street, Finsbury",992,2025-10-16 07:36:00,"Kennington Road, Vauxhall",1154,56723,CLASSIC,14h 0m 53s,50453767,840.8961166666667,Anamoly (>300 mins)
