Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category
153051726,2025-10-15 23:59:00,"New Cavendish Street, Marylebone",200005,2025-10-15 23:59:00,"New Cavendish Street, Marylebone",200005,21757,CLASSIC,8s,8215,0.13691666666666666,Invalid(<1 mins)
153051134,2025-10-15 22:46:00,"Doric Way , Somers Town",1004,2025-10-15 22:46:00,"Doric Way , Somers Town",1004,40995,CLASSIC,26s,26869,0.44781666666666664,Invalid(<1 mins)
153051095,2025-10-15 22:43:00,"Bruton Street, Mayfair",1034,2025-10-15 22:43:00,"Bruton Street, Mayfair",1034,23970,CLASSIC,18s,18478,0.30796666666666667,Invalid(<1 mins)
153051093,2025-10-15 22:43:00,"Emperor's Gate, South Kensington",1116,2025-10-15 22:43:00,"Emperor's Gate, South Kensington",1116,55594,CLASSIC,22s,22680,0.378,Invalid(<1 mins)
153051021,2025-10-15 22:37:00,"Moor Street, Soho",3504,2025-10-15 22:37:00,"Moor Street, Soho",3504,41233,CLASSIC,31s,31103,0.5183833333333333,Invalid(<1 mins)
153050972,2025-10-15 22:32:00,"Cromer Street, Bloomsbury",300205,2025-10-15 22:32:00,"Cromer Street, Bloomsbury",300205,52742,CLASSIC,3s,3201,0.05335,Invalid(<1 mins)
153050841,2025-10-15 22:23:00,"Bruton Street, Mayfair",1034,2025-10-15 22:23:00,"Bruton Street, Mayfair",1034,23970,CLASSIC,38s,38818,0.6469666666666667,Invalid(<1 mins)
153050083,2025-10-15 21:33:00,"Eversholt Street , Camden Town",1005,2025-10-15 21:34:00,"Eversholt Street , Camden Town",1005,56261,CLASSIC,16s,16352,0.27253333333333335,Invalid(<1 mins)
153049981,2025-10-15 21:27:00,"Baker Street, Marylebone",1086,2025-10-15 21:28:00,"Baker Street, Marylebone",1086,53642,CLASSIC,53s,53738,0.8956333333333333,Invalid(<1 mins)
153049767,2025-10-15 21:15:00,"Sedding Street, Sloane Square",3420,2025-10-15 21:15:00,"Sedding Street, Sloane Square",3420,41471,CLASSIC,2s,2589,0.04315,Invalid(<1 mins)
153049707,2025-10-15 21:12:00,"Warwick Road, Olympia",1134,2025-10-15 21:12:00,"Warwick Road, Olympia",1134,21104,CLASSIC,12s,12982,0.21636666666666668,Invalid(<1 mins)
153049721,2025-10-15 21:12:00,"Fanshaw Street, Hoxton",3427,2025-10-15 21:13:00,"New North Road 2, Hoxton",2641,56215,CLASSIC,55s,55745,0.9290833333333334,Invalid(<1 mins)
