Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category,start_hour,end_hour,start_day,start_month,is_weekend,day_type
153051719,2025-10-15 23:59:00,"Gloucester Road Station, South Kensington",1107,2025-10-16 00:02:00,"Drayton Gardens, West Chelsea",200060,21145,CLASSIC,3m 43s,223233,3.72055,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051720,2025-10-15 23:59:00,"Hop Exchange, The Borough",960,2025-10-16 00:17:00,"Battersea Park Road, Nine Elms",200183,55937,CLASSIC,17m 49s,1069184,17.819733333333332,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051721,2025-10-15 23:59:00,"Lambeth Palace Road, Waterloo",300231,2025-10-16 00:17:00,"Lambeth Palace Road, Waterloo",300231,52917,CLASSIC,18m 26s,1106396,18.439933333333332,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051722,2025-10-15 23:59:00,"Vereker Road, West Kensington",200116,2025-10-16 00:02:00,"Greyhound Road, Hammersmith",200215,50274,CLASSIC,3m 14s,194482,3.2413666666666665,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051723,2025-10-15 23:59:00,"Vereker Road, West Kensington",200116,2025-10-16 00:02:00,"Greyhound Road, Hammersmith",200215,54406,CLASSIC,3m 9s,189723,3.16205,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051724,2025-10-15 23:59:00,"Panton Street, West End",3452,2025-10-16 00:20:00,"Islington Green, Angel",300031,58350,CLASSIC,21m 13s,1273499,21.224983333333334,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051725,2025-10-15 23:59:00,"Westfield Library Corner, Shepherd's Bush",200227,2025-10-16 00:18:00,"Westfield Library Corner, Shepherd's Bush",200227,41565,CLASSIC,18m 37s,1117193,18.619883333333334,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051716,2025-10-15 23:58:00,"Charing Cross Hospital, Hammersmith",300018,2025-10-15 23:59:00,"Greyhound Road, Hammersmith",200215,35790,CLASSIC,1m 34s,94027,1.5671166666666667,Short(1-10 mins),23,23,Wednesday,October,False,Weekday
153051717,2025-10-15 23:58:00,"Lambeth Palace Road, Waterloo",300231,2025-10-16 00:17:00,"Lambeth Palace Road, Waterloo",300231,59014,CLASSIC,19m 13s,1153943,19.232383333333335,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051718,2025-10-15 23:58:00,"Fore Street Avenue, Guildhall",200253,2025-10-16 00:08:00,"Percival Street, Finsbury",200051,59814,CLASSIC,9m 29s,569894,9.498233333333333,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051715,2025-10-15 23:57:00,"Braham Street, Aldgate",1062,2025-10-16 00:09:00,"Rectory Square, Stepney",200037,22914,CLASSIC,12m 5s,725745,12.09575,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051710,2025-10-15 23:56:00,"Devons Road, Bow",200255,2025-10-16 00:09:00,"Royal London Hospital, Whitechapel",1077,30620,CLASSIC,12m 53s,773236,12.887266666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051711,2025-10-15 23:56:00,"British Museum, Bloomsbury",981,2025-10-16 00:19:00,"Granby Street, Shoreditch",22174,51077,CLASSIC,22m 51s,1371268,22.854466666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051712,2025-10-15 23:56:00,"Woodstock Grove, Shepherd's Bush",200214,2025-10-16 00:05:00,"Lexham Gardens, Kensington",1121,62172,PBSC_EBIKE,8m 34s,514923,8.58205,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051713,2025-10-15 23:56:00,"Manresa Road, Chelsea",200010,2025-10-16 00:04:00,"Michael Road, Walham Green",300095,54866,CLASSIC,7m 26s,446016,7.4336,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051714,2025-10-15 23:57:00,"Haggerston Road, Haggerston",300081,2025-10-16 00:02:00,"Lansdowne Drive, Hackney Central",3426,57418,CLASSIC,4m 59s,299661,4.99435,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051706,2025-10-15 23:55:00,"Colet Gardens, Hammersmith",200224,2025-10-16 00:03:00,"Aintree Street, Fulham",200098,56583,CLASSIC,8m 3s,483807,8.06345,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051707,2025-10-15 23:55:00,"Regent's Row , Haggerston",200064,2025-10-16 00:06:00,"LMU Commercial Road, Whitechapel",1105,64098,PBSC_EBIKE,11m 3s,663116,11.051933333333332,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051708,2025-10-15 23:55:00,"Cartwright Gardens , Bloomsbury",1010,2025-10-16 00:15:00,"Vauxhall Street, Vauxhall",1224,54326,CLASSIC,20m 23s,1223239,20.387316666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051709,2025-10-15 23:56:00,"Danvers Street, West Chelsea",200222,2025-10-16 00:04:00,"Parsons Green Station, Parsons Green",300052,51657,CLASSIC,8m 38s,518771,8.646183333333333,Short(1-10 mins),23,0,Wednesday,October,False,Weekday
153051699,2025-10-15 23:54:00,"Barbican Centre, Barbican",1191,2025-10-16 00:14:00,"Watney Street, Shadwell",200149,23425,CLASSIC,20m 38s,1238327,20.638783333333333,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051700,2025-10-15 23:54:00,"Ormonde Gate, Chelsea",300089,2025-10-16 00:06:00,"Horseferry Road, Westminster",1170,58875,CLASSIC,12m 5s,725235,12.08725,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051701,2025-10-15 23:54:00,"Southwark Station 2, Southwark",22163,2025-10-16 00:13:00,"Rotherhithe Roundabout, Rotherhithe",10629,57397,CLASSIC,19m 12s,1152692,19.211533333333332,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051702,2025-10-15 23:54:00,"South Audley Street, Mayfair",3493,2025-10-16 00:24:00,"Cleveland Way, Stepney",200250,62897,PBSC_EBIKE,30m 12s,1812852,30.2142,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
153051703,2025-10-15 23:54:00,"Brushfield Street, Liverpool Street",1161,2025-10-16 00:10:00,"Clarkson Street, Bethnal Green",200131,58814,CLASSIC,16m 4s,964498,16.07496666666667,Normal(10-40 mins),23,0,Wednesday,October,False,Weekday
